Question,Option A,Option B,Option C,Option D,Correct Answer,Marks
What is the atomic number of oxygen?,6,7,8,9,C,1
Which particle has a negative charge?,Proton,Neutron,Electron,Nucleus,C,1
What is the chemical symbol for sodium?,So,Na,Sd,Sn,B,1
Which gas is released during photosynthesis?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,B,1
What is the pH of a neutral solution at 25C?,5,6,7,8,C,1
Which acid is found in car batteries?,Hydrochloric acid,Sulfuric acid,Nitric acid,Acetic acid,B,1
What is the valency of carbon in methane?,1,2,3,4,D,1
Which of these is an alkali metal?,Calcium,Sodium,Aluminum,Iron,B,1
Which process converts solid directly to gas?,Condensation,Deposition,Sublimation,Evaporation,C,1
What is the formula of ammonia?,NH3,NO2,N2H4,NaOH,A,1
Which bond involves transfer of electrons?,Covalent bond,Ionic bond,Hydrogen bond,Metallic bond,B,1
What is the main component of natural gas?,Ethane,Propane,Methane,Butane,C,1
Which element is a halogen?,Neon,Chlorine,Argon,Magnesium,B,1
What is the molar mass of water?,16,18,20,22,B,1
Which indicator turns red in acidic solution?,Phenolphthalein,Blue litmus,Red litmus,Methyl orange,D,1
What is the oxidation state of oxygen in most compounds?,-1,-2,+1,+2,B,1
Which gas turns limewater milky?,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,C,1
What is the product of acid and base neutralization?,Salt and water,Gas only,Alkali only,Acid only,A,1
Which of these is a strong acid?,Ethanoic acid,Carbonic acid,Sulfuric acid,Citric acid,C,1
Which element has the symbol K?,Potassium,Krypton,Calcium,Nickel,A,1
What is the empirical formula of glucose?,CH2O,C6H12O6,C2H4O2,C12H22O11,A,1
Which law states matter is neither created nor destroyed?,Boyle law,Charles law,Conservation of mass,Avogadro law,C,1
What is the gas collected at the cathode during electrolysis of water?,Oxygen,Hydrogen,Chlorine,Nitrogen,B,1
Which type of reaction releases heat?,Endothermic,Exothermic,Reversible,Displacement,B,1
What is the correct formula for calcium carbonate?,CaCO2,CaCO3,Ca2CO3,Ca(CO3)2,B,1
Which of these is a transition metal?,Sodium,Magnesium,Iron,Calcium,C,1
How many electrons can the first shell hold?,2,4,6,8,A,1
What is the IUPAC name of CH4?,Methane,Ethane,Propane,Butane,A,1
Which substance is used to test for starch?,Iodine solution,Bromine water,Limewater,Universal indicator,A,1
Which ion causes hardness in water?,Na+,K+,Ca2+,Cl-,C,1
What is the formula of sulfur dioxide?,SO,SO2,SO3,S2O,B,1
What is the unit of concentration expressed as moles per liter?,Molality,Molarity,Normality,Density,B,1
Which hydrocarbon has a double bond?,Alkane,Alkene,Alkyne,Cycloalkane,B,1
What is the color of hydrated copper sulfate crystals?,Green,Blue,White,Yellow,B,1
Which of these is an example of a physical change?,Rusting iron,Burning paper,Melting ice,Fermentation,C,1
What is the common oxidation number of chlorine in chloride ion?,-1,+1,+5,+7,A,1
Which gas is most abundant in air?,Oxygen,Carbon dioxide,Nitrogen,Argon,C,1
What is produced when metal reacts with dilute acid?,Salt and hydrogen,Salt and oxygen,Salt and chlorine,Water only,A,1
What is the formula of nitric acid?,HNO2,HNO3,H2NO3,HN2O3,B,1
Which one is an organic acid?,Sulfuric acid,Hydrochloric acid,Ethanoic acid,Nitric acid,C,1
What is the shape of methane molecule?,Linear,Tetrahedral,Trigonal planar,Bent,B,1
Which element is present in all organic compounds?,Nitrogen,Oxygen,Hydrogen,Carbon,D,1
What is the pH range of acids?,Less than 7,Exactly 7,Greater than 7,Equal to 14,A,1
Which process is used to separate crude oil fractions?,Filtration,Simple distillation,Fractional distillation,Chromatography,C,1
What is the formula for sodium hydroxide?,NaH,NaOH,Na2O,NaHO,B,1
Which of these salts is insoluble in water?,Sodium nitrate,Potassium sulfate,Silver chloride,Ammonium chloride,C,1
What is the term for a solution that cannot dissolve more solute?,Dilute,Concentrated,Saturated,Unsaturated,C,1
Which metal is extracted from bauxite?,Iron,Aluminum,Copper,Zinc,B,1
What is the test for hydrogen gas?,Relights glowing splint,Burning splint gives squeaky pop,Turns limewater milky,Turns litmus red,B,1
What is the formula of ethanol?,C2H5OH,CH3OH,C3H7OH,C2H4OH,A,1
Which compound decolorizes bromine water?,Ethane,Ethene,Methane,Propane,B,1
What is the product of complete combustion of carbon?,Carbon monoxide,Carbon dioxide,Soot,Methane,B,1
Which atomic model introduced quantized energy levels?,Dalton model,Thomson model,Bohr model,Rutherford model,C,1
Which is the correct order of increasing particle size?,Atom Ion Molecule,Electron Proton Neutron,Nucleus Atom Molecule,Molecule Atom Nucleus,C,1
What is formed when an acid reacts with a carbonate?,Salt and water only,Salt and hydrogen,Salt water and carbon dioxide,Water and oxygen,C,1
Which factor does NOT affect reaction rate?,Temperature,Concentration,Surface area,Color,D,1
What is the formula for potassium nitrate?,KNO2,K2NO3,KNO3,KN2O3,C,1
Which of these is an isomer pair?,Methane and Ethane,Butane and 2-methylpropane,Ethene and Ethyne,Propane and Propyne,B,1
Which laboratory apparatus measures volume accurately?,Beaker,Conical flask,Burette,Evaporating dish,C,1
What is the electron configuration of sodium?,2 8 1,2 8 2,2 7 2,2 6 3,A,1
